x deficient regular good
27.00 1.000000 0.000000 0.000000
27.50 1.000000 0.000000 0.000000
28.00 1.000000 0.000000 0.000000
28.50 1.000000 0.000000 0.000000
29.00 1.000000 0.000000 0.000000
29.50 1.000000 0.000000 0.000000
30.00 1.000000 0.000000 0.000000
30.50 1.000000 0.000000 0.000000
31.00 1.000000 0.000000 0.000000
31.50 1.000000 0.000000 0.000000
32.00 1.000000 0.000000 0.000000
32.50 1.000000 0.000000 0.000000
33.00 1.000000 0.000000 0.000000
33.50 1.000000 0.000000 0.000000
34.00 1.000000 0.000000 0.000000
34.50 1.000000 0.000000 0.000000
35.00 1.000000 0.000000 0.000000
35.50 1.000000 0.000000 0.000000
36.00 1.000000 0.000000 0.000000
36.50 1.000000 0.000000 0.000000
37.00 1.000000 0.000000 0.000000
37.50 1.000000 0.000000 0.000000
38.00 1.000000 0.000000 0.000000
38.50 1.000000 0.000000 0.000000
39.00 1.000000 0.000000 0.000000
39.50 1.000000 0.000000 0.000000
40.00 1.000000 0.000000 0.000000
40.50 1.000000 0.000000 0.000000
41.00 1.000000 0.000000 0.000000
41.50 1.000000 0.000000 0.000000
42.00 1.000000 0.000000 0.000000
42.50 1.000000 0.000000 0.000000
43.00 1.000000 0.000000 0.000000
43.50 1.000000 0.000000 0.000000
44.00 1.000000 0.000000 0.000000
44.50 1.000000 0.000000 0.000000
45.00 1.000000 0.000000 0.000000
45.50 0.966667 0.000000 0.000000
46.00 0.933333 0.000000 0.000000
46.50 0.900000 0.000000 0.000000
47.00 0.866667 0.000000 0.000000
47.50 0.833333 0.000000 0.000000
48.00 0.800000 0.000000 0.000000
48.50 0.766667 0.000000 0.000000
49.00 0.733333 0.000000 0.000000
49.50 0.700000 0.000000 0.000000
50.00 0.666667 0.000000 0.000000
50.50 0.633333 0.027778 0.000000
51.00 0.600000 0.055556 0.000000
51.50 0.566667 0.083333 0.000000
52.00 0.533333 0.111111 0.000000
52.50 0.500000 0.138889 0.000000
53.00 0.466667 0.166667 0.000000
53.50 0.433333 0.194444 0.000000
54.00 0.400000 0.222222 0.000000
54.50 0.366667 0.250000 0.000000
55.00 0.333333 0.277778 0.000000
55.50 0.300000 0.305556 0.000000
56.00 0.266667 0.333333 0.000000
56.50 0.233333 0.361111 0.000000
57.00 0.200000 0.388889 0.000000
57.50 0.166667 0.416667 0.000000
58.00 0.133333 0.444444 0.000000
58.50 0.100000 0.472222 0.000000
59.00 0.066667 0.500000 0.000000
59.50 0.033333 0.527778 0.000000
60.00 0.000000 0.555556 0.000000
60.50 0.000000 0.583333 0.000000
61.00 0.000000 0.611111 0.000000
61.50 0.000000 0.638889 0.000000
62.00 0.000000 0.666667 0.000000
62.50 0.000000 0.694444 0.000000
63.00 0.000000 0.722222 0.000000
63.50 0.000000 0.750000 0.000000
64.00 0.000000 0.777778 0.000000
64.50 0.000000 0.805556 0.000000
65.00 0.000000 0.833333 0.000000
65.50 0.000000 0.861111 0.000000
66.00 0.000000 0.888889 0.000000
66.50 0.000000 0.916667 0.000000
67.00 0.000000 0.944444 0.000000
67.50 0.000000 0.972222 0.000000
68.00 0.000000 1.000000 0.000000
68.50 0.000000 0.964286 0.000000
69.00 0.000000 0.928571 0.000000
69.50 0.000000 0.892857 0.000000
70.00 0.000000 0.857143 0.000000
70.50 0.000000 0.821429 0.000000
71.00 0.000000 0.785714 0.000000
71.50 0.000000 0.750000 0.000000
72.00 0.000000 0.714286 0.000000
72.50 0.000000 0.678571 0.000000
73.00 0.000000 0.642857 0.000000
73.50 0.000000 0.607143 0.000000
74.00 0.000000 0.571429 0.000000
74.50 0.000000 0.535714 0.000000
75.00 0.000000 0.500000 0.000000
75.50 0.000000 0.464286 0.038462
76.00 0.000000 0.428571 0.076923
76.50 0.000000 0.392857 0.115385
77.00 0.000000 0.357143 0.153846
77.50 0.000000 0.321429 0.192308
78.00 0.000000 0.285714 0.230769
78.50 0.000000 0.250000 0.269231
79.00 0.000000 0.214286 0.307692
79.50 0.000000 0.178571 0.346154
80.00 0.000000 0.142857 0.384615
80.50 0.000000 0.107143 0.423077
81.00 0.000000 0.071429 0.461538
81.50 0.000000 0.035714 0.500000
82.00 0.000000 0.000000 0.538462
82.50 0.000000 0.000000 0.576923
83.00 0.000000 0.000000 0.615385
83.50 0.000000 0.000000 0.653846
84.00 0.000000 0.000000 0.692308
84.50 0.000000 0.000000 0.730769
85.00 0.000000 0.000000 0.769231
85.50 0.000000 0.000000 0.807692
86.00 0.000000 0.000000 0.846154
86.50 0.000000 0.000000 0.884615
87.00 0.000000 0.000000 0.923077
87.50 0.000000 0.000000 0.961538
88.00 0.000000 0.000000 1.000000
88.50 0.000000 0.000000 1.000000
89.00 0.000000 0.000000 1.000000
89.50 0.000000 0.000000 1.000000
90.00 0.000000 0.000000 1.000000
90.50 0.000000 0.000000 1.000000
91.00 0.000000 0.000000 1.000000
91.50 0.000000 0.000000 1.000000
92.00 0.000000 0.000000 1.000000
92.50 0.000000 0.000000 1.000000
93.00 0.000000 0.000000 1.000000
93.50 0.000000 0.000000 1.000000
94.00 0.000000 0.000000 1.000000
94.50 0.000000 0.000000 1.000000
95.00 0.000000 0.000000 1.000000
95.50 0.000000 0.000000 1.000000
96.00 0.000000 0.000000 1.000000
96.50 0.000000 0.000000 1.000000
97.00 0.000000 0.000000 1.000000
97.50 0.000000 0.000000 1.000000
98.00 0.000000 0.000000 1.000000
98.50 0.000000 0.000000 1.000000
99.00 0.000000 0.000000 1.000000
99.50 0.000000 0.000000 1.000000
100.00 0.000000 0.000000 1.000000
